Company,TypeName,Ram,Weight,TouchScreen,IPS,PPI,Cpu_Brand,SSD,HDD,Flash_Storage,Gpu_brand,OS,Price
Acer,2 in 1 Convertible,8,1.5,0,1,169.45439769863833,Intel Core i5,256,0,0,Intel,Windows,76543
Dell,Notebook,8,2.2,0,0,146.86047800548656,Intel Core i7,0,0,0,AMD,Other/No OS/Linux,54212
Dell,Notebook,4,2.2,0,0,146.86047800548656,Other Intel Processor,256,0,0,AMD,Other/No OS/Linux,43829
Asus,Notebook,6,2.0,0,0,146.86047800548656,Other Intel Processor,256,0,0,Nvidia,Windows,52143
HP,Gaming,12,2.62,0,1,146.86047800548656,Intel Core i7,128,0,0,Nvidia,Windows,112872
HP,Notebook,8,1.91,0,0,146.86047800548656,Intel Core i7,256,0,0,AMD,Windows,64976
HP,Notebook,4,2.1,0,0,146.86047800548656,AMD Processor,0,500,0,AMD,Windows,31539
Dell,Notebook,8,2.2,0,0,146.86047800548656,Intel Core i5,0,0,0,AMD,Other/No OS/Linux,58469
HP,Ultrabook,8,1.38,0,1,169.45439769863833,Intel Core i7,256,0,0,Nvidia,Windows,101124
Microsoft,Ultrabook,8,1.252,0,0,208.56727378068615,Intel Core i5,256,0,0,Intel,Other/No OS/Linux,121095
HP,Notebook,6,1.58,0,1,157.3505121487356,Intel Core i5,256,0,0,Nvidia,Windows,59553
Lenovo,Notebook,4,1.85,0,0,146.86047800548656,Other Intel Processor,0,0,0,Intel,Windows,37494
Asus,Ultrabook,8,1.3,0,1,157.3505121487356,Intel Core i7,256,0,0,Nvidia,Windows,107811
MSI,Gaming,16,2.2,0,0,146.86047800548656,Intel Core i7,256,0,0,Nvidia,Windows,117390
Lenovo,Notebook,8,1.58,0,1,157.3505121487356,Intel Core i7,256,0,0,Intel,Windows,133747
Asus,Ultrabook,16,1.5,0,0,146.86047800548656,Intel Core i7,256,0,0,Nvidia,Windows,114046
Dell,Ultrabook,8,1.23,0,0,282.4239961643972,Intel Core i7,256,0,0,Intel,Windows,124620
Lenovo,2 in 1 Convertible,8,1.37,0,1,169.45439769863833,Intel Core i5,256,0,0,Intel,Windows,126427
HP,Notebook,4,1.63,0,1,111.93520355955211,Intel Core i5,0,500,0,Intel,Windows,65247
Dell,Ultrabook,8,1.21,0,1,169.45439769863833,Intel Core i5,256,0,0,Intel,Windows,147212
HP,2 in 1 Convertible,8,1.26,0,1,169.45439769863833,Intel Core i5,256,0,0,Intel,Windows,126426
HP,Notebook,8,1.63,0,0,157.3505121487356,Intel Core i7,512,0,0,Intel,Windows,97961
Dell,Notebook,8,2.16,0,1,146.86047800548656,Intel Core i7,256,0,0,Nvidia,Windows,102147
Asus,Notebook,4,2.0,0,0,129.58277471072344,Other Intel Processor,0,0,0,Nvidia,Windows,50968
Asus,Notebook,8,1.7,0,0,146.86047800548656,Intel Core i7,256,0,0,Nvidia,Windows,101033
Acer,Notebook,6,2.1,0,1,146.86047800548656,Other Intel Processor,0,0,0,Intel,Windows,43287
MSI,Gaming,16,1.8,0,0,146.86047800548656,Intel Core i7,256,0,0,Nvidia,Windows,202564
Lenovo,Notebook,8,2.2,0,0,146.86047800548656,Intel Core i5,256,0,0,Nvidia,Other/No OS/Linux,56842
HP,Notebook,16,2.5,0,0,129.58277471072344,Intel Core i7,512,0,0,Nvidia,Windows,114860
Acer,Notebook,4,2.1,0,0,104.47285665558198,AMD Processor,256,0,0,AMD,Windows,40756
HP,Notebook,4,1.86,0,0,104.47285665558198,Other Intel Processor,0,500,0,Intel,Other/No OS/Linux,23405
HP,Notebook,8,1.63,0,0,157.3505121487356,Intel Core i5,0,0,0,Intel,Windows,73380
Asus,Notebook,4,1.65,0,0,111.93520355955211,AMD Processor,64,0,0,AMD,Other/No OS/Linux,25121
Dell,Notebook,16,2.8,0,0,129.58277471072344,Intel Core i7,256,0,0,AMD,Windows,126156
HP,Notebook,8,2.5,0,0,129.58277471072344,Intel Core i5,256,0,0,Intel,Windows,83863
Dell,Notebook,8,2.36,0,0,104.47285665558198,Intel Core i5,0,0,0,AMD,Windows,57745
Dell,Notebook,4,2.2,0,0,146.86047800548656,Other Intel Processor,0,0,0,AMD,Windows,40576
Acer,Ultrabook,8,1.6,0,1,157.3505121487356,Intel Core i7,256,0,0,Intel,Windows,79887
Acer,Notebook,4,2.2,0,0,146.86047800548656,Other Intel Processor,256,0,0,Nvidia,Windows,51691
HP,Notebook,8,2.05,0,0,104.47285665558198,Intel Core i7,0,0,0,Intel,Windows,54041
HP,Notebook,8,1.63,0,0,157.3505121487356,Intel Core i7,256,0,0,Intel,Windows,89285
Lenovo,Notebook,4,1.9,0,0,104.47285665558198,Other Intel Processor,0,0,0,Intel,Other/No OS/Linux,22805
Asus,Gaming,8,3.0,0,0,129.58277471072344,Intel Core i5,128,0,0,Nvidia,Windows,84767
Lenovo,Notebook,4,2.2,0,0,146.86047800548656,Intel Core i5,0,0,0,Nvidia,Other/No OS/Linux,45094
HP,Notebook,4,1.32,0,1,169.45439769863833,Intel Core i5,256,0,0,Intel,Windows,63168
Acer,Notebook,4,3.0,0,1,129.58277471072344,Other Intel Processor,0,0,0,Nvidia,Windows,59192
Lenovo,Notebook,8,1.75,0,1,157.3505121487356,Intel Core i5,256,0,0,AMD,Windows,100854
Lenovo,Gaming,8,2.4,0,1,146.86047800548656,Intel Core i7,256,0,0,Nvidia,Other/No OS/Linux,78531
Toshiba,Notebook,4,2.1,0,0,104.47285665558198,Intel Core i5,0,500,0,Intel,Windows,54402
HP,Notebook,4,1.86,0,0,104.47285665558198,AMD Processor,256,0,0,AMD,Windows,33346
Asus,Ultrabook,8,1.25,0,0,157.3505121487356,Intel Core i7,256,0,0,Intel,Windows,99316
HP,Ultrabook,8,0.97,0,1,367.1511950137164,Other Intel Processor,512,0,0,Intel,Windows,182005
Asus,Notebook,4,2.0,0,0,146.86047800548656,Other Intel Processor,0,0,0,Intel,Windows,31087
MSI,Gaming,16,2.9,0,0,129.58277471072344,Intel Core i7,256,0,0,Nvidia,Windows,183360
Acer,Notebook,4,2.1,0,0,104.47285665558198,Other Intel Processor,0,0,0,Intel,Windows,40395
Dell,Gaming,16,2.56,0,0,146.86047800548656,Intel Core i7,512,0,0,Nvidia,Windows,112895
Dell,Gaming,8,2.62,0,0,146.86047800548656,Intel Core i7,0,0,0,Nvidia,Windows,81242
Lenovo,Notebook,4,1.9,0,0,104.47285665558198,Intel Core i5,128,0,0,Intel,Windows,45004
MSI,Gaming,16,2.8,0,0,129.58277471072344,Intel Core i7,256,0,0,Nvidia,Windows,170799
HP,Ultrabook,4,1.48,0,0,157.3505121487356,Intel Core i5,256,0,0,Intel,Windows,97780
HP,Notebook,6,1.91,0,0,146.86047800548656,Intel Core i5,256,0,0,AMD,Windows,55939
Lenovo,2 in 1 Convertible,4,1.74,0,1,157.3505121487356,Other Intel Processor,256,0,0,Intel,Windows,56842
Asus,2 in 1 Convertible,8,1.1,0,0,169.45439769863833,Intel Core i5,256,0,0,Intel,Windows,118836
Dell,2 in 1 Convertible,8,1.56,0,0,146.86047800548656,Intel Core i7,256,0,0,Intel,Windows,94798
Toshiba,Notebook,4,2.1,0,0,104.47285665558198,Other Intel Processor,0,500,0,Intel,Windows,40395
Asus,Notebook,4,2.03,0,0,104.47285665558198,AMD Processor,0,0,0,AMD,Windows,36419
Acer,Notebook,4,3.0,0,1,129.58277471072344,Intel Core i5,256,0,0,Nvidia,Windows,72747
Dell,Notebook,8,2.13,0,0,146.86047800548656,Intel Core i5,256,0,0,AMD,Windows,65789
Lenovo,Gaming,16,2.5,0,1,146.86047800548656,Intel Core i7,256,0,0,Nvidia,Windows,97509
Acer,Notebook,4,2.1,0,0,104.47285665558198,Other Intel Processor,0,0,0,Intel,Windows,31448
